date,isStair,value
2018-11-17 18:47:28,1,4
2018-11-17 18:47:29,1,4
2018-11-17 18:47:30,1,4
2018-11-17 18:47:31,1,4
2018-11-17 18:47:32,1,4
2018-11-17 18:47:33,1,4
2018-11-17 18:47:34,1,4
2018-11-17 18:47:35,1,4
2018-11-17 18:47:36,1,4
2018-11-17 18:47:37,1,4
2018-11-17 18:47:38,1,4
2018-11-17 18:47:39,1,4
2018-11-17 18:47:40,1,4
2018-11-17 18:47:41,1,4
2018-11-17 18:47:42,1,4
2018-11-17 18:47:43,1,4
2018-11-17 18:47:44,1,4
2018-11-17 18:47:45,1,4
2018-11-17 18:47:46,1,4
2018-11-17 18:47:47,1,4
2018-11-17 18:47:48,1,4
2018-11-17 18:47:49,1,4
2018-11-17 18:47:50,1,4
2018-11-17 18:47:51,1,4
2018-11-17 18:47:52,1,4
2018-11-17 18:47:53,1,4
2018-11-17 18:47:54,1,4
2018-11-17 18:47:55,1,4
2018-11-17 18:47:56,1,4
2018-11-17 18:47:57,1,4
2018-11-17 18:47:58,1,4
2018-11-17 18:47:59,1,4
2018-11-17 18:48:00,1,4
2018-11-17 18:48:01,1,4
2018-11-17 18:48:02,1,4
2018-11-17 18:48:03,1,4
2018-11-17 18:48:04,1,4
2018-11-17 18:48:05,1,4
2018-11-17 18:48:06,1,4
2018-11-17 18:48:07,1,4
2018-11-17 18:48:08,1,4
2018-11-17 18:48:09,1,4
2018-11-17 18:48:10,1,4
2018-11-17 18:48:11,1,4
2018-11-17 18:48:12,1,4
2018-11-17 18:48:13,1,4
2018-11-17 18:48:14,1,4
2018-11-17 18:48:15,1,4
2018-11-17 18:48:16,1,4
2018-11-17 18:48:17,1,4
2018-11-17 18:48:18,1,4
2018-11-17 18:48:19,1,4
2018-11-17 18:48:20,1,4
2018-11-17 18:48:21,1,4
2018-11-17 18:48:22,1,4
2018-11-17 18:48:23,1,4
2018-11-17 18:48:24,1,4
2018-11-17 18:48:25,1,4
2018-11-17 18:48:26,1,4
2018-11-17 18:48:27,1,4
2018-11-17 18:48:28,1,4
2018-11-17 18:48:29,1,4
2018-11-17 18:48:30,1,4
2018-11-17 18:48:31,1,4
2018-11-17 18:48:32,1,4
2018-11-17 18:48:33,1,4
2018-11-17 18:48:34,1,4
2018-11-17 18:48:35,1,4
2018-11-17 18:48:36,1,4
2018-11-17 18:48:37,1,4
2018-11-17 18:48:38,1,4
2018-11-17 18:48:39,1,4
2018-11-17 18:48:40,1,4
2018-11-17 18:48:41,1,4
2018-11-17 18:48:42,1,4
2018-11-17 18:48:43,1,4
2018-11-17 18:48:44,1,4
2018-11-17 18:48:45,1,4
2018-11-17 18:48:46,1,4
2018-11-17 18:48:47,1,4
2018-11-17 18:48:48,1,4
2018-11-17 18:48:49,1,4
2018-11-17 18:48:50,1,4
2018-11-17 18:48:51,1,4
2018-11-17 18:48:52,1,4
2018-11-17 18:48:53,1,4
2018-11-17 18:48:54,1,4
2018-11-17 18:48:55,1,4
2018-11-17 18:48:56,1,4
2018-11-17 18:48:57,1,4
2018-11-17 18:48:58,1,4
2018-11-17 18:48:59,1,4
2018-11-17 18:49:00,1,4
2018-11-17 18:49:01,1,4
2018-11-17 18:49:02,1,4
2018-11-17 18:49:03,1,4
2018-11-17 18:49:04,1,4
2018-11-17 18:49:05,1,4
2018-11-17 18:49:06,1,4
2018-11-17 18:49:07,1,4
2018-11-17 18:49:08,1,4
2018-11-17 18:49:09,1,4
2018-11-17 18:49:10,1,4
2018-11-17 18:49:11,1,4
2018-11-17 18:49:12,1,4
2018-11-17 18:49:13,1,4
2018-11-17 18:49:14,1,4
2018-11-17 18:49:15,1,4
2018-11-17 18:49:16,1,4
2018-11-17 18:49:17,1,4
2018-11-17 18:49:18,1,4
2018-11-17 18:49:19,1,4
2018-11-17 18:49:20,1,4
2018-11-17 18:49:21,1,4
2018-11-17 18:49:22,1,4
2018-11-17 18:49:23,1,4
